algorithm,state_representation,reward_type,mean_ev_50k,mean_ev_100k,mean_improvement,improvement_ci95_low,improvement_ci95_high
dqn,features,net_profit,-0.40762,-0.385945,0.021675,0.002152165588803257,0.041197834411196746
reinforce,features,stake_scaled_net_profit,-0.32108400000000004,-0.294306,0.026778000000000003,-0.03623285334195723,0.08978885334195724
