algorithm,state_representation,comparison,mean_difference,standard_deviation,standard_error,ci95_low,ci95_high
dqn,raw,net_minus_scaled,-0.07689699999999997,0.04386617298671035,0.01961754894220986,-0.13136404773657678,-0.02242995226342314
dqn,features,net_minus_scaled,0.008857000000000014,0.01171572906395501,0.005239433318594677,-0.005689998991422435,0.023403998991422464
reinforce,raw,net_minus_scaled,0.0018480000000000052,0.008464919964181576,0.0037856272928010175,-0.008662586367200574,0.012358586367200585
reinforce,features,net_minus_scaled,-0.061168,0.06645239100288267,0.029718412709968212,-0.1436795415028393,0.02134354150283929
