algorithm,reward_type,comparison,mean_difference,standard_deviation,standard_error,ci95_low,ci95_high
dqn,net_profit,features_minus_raw,0.23740799999999998,0.024801519005899615,0.01109157648848891,0.20661284674960795,0.268203153250392
dqn,stake_scaled_net_profit,features_minus_raw,0.151654,0.052645538438693906,0.02354380053219954,0.08628593025462127,0.21702206974537874
reinforce,net_profit,features_minus_raw,-0.003731999999999991,0.008570902519571658,0.00383302413245729,-0.014374181090666072,0.006910181090666091
reinforce,stake_scaled_net_profit,features_minus_raw,0.059284,0.06588266638502119,0.02946362411516954,-0.02252013495595029,0.1410881349559503
