algorithm,state_representation,reward_type,mean_ev,sd_between_seeds,standard_error,ci95_low,ci95_high,minimum_ev,maximum_ev
dqn,raw,net_profit,-0.6450279999999999,0.01839202904793269,0.008225165439065646,-0.6678647203227358,-0.6221912796772641,-0.66199,-0.61442
dqn,raw,stake_scaled_net_profit,-0.5681309999999999,0.040100774057367,0.017933611348526533,-0.6179226874471361,-0.5183393125528638,-0.627605,-0.524765
dqn,features,net_profit,-0.40762,0.007994173659609846,0.003575103145365176,-0.41754607762852636,-0.3976939223714736,-0.418645,-0.40011
dqn,features,stake_scaled_net_profit,-0.416477,0.01686062224533839,0.007540299496704355,-0.4374122276293502,-0.39554177237064975,-0.43583,-0.391195
reinforce,raw,net_profit,-0.37852,0.007401597800475244,0.0033100951647951136,-0.3877102975180343,-0.3693297024819657,-0.38916,-0.36903
reinforce,raw,stake_scaled_net_profit,-0.380368,0.0014042506898698573,0.0006279999999999952,-0.3821116075260642,-0.37862439247393576,-0.38288,-0.37974
reinforce,features,net_profit,-0.382252,0.0014042506898698573,0.0006279999999999952,-0.3839956075260642,-0.38050839247393575,-0.38288,-0.37974
reinforce,features,stake_scaled_net_profit,-0.32108400000000004,0.06574084293648813,0.02940019874082487,-0.40271203788580573,-0.23945596211419434,-0.37974,-0.21977
