state_representation,reward_type,comparison,mean_difference,standard_deviation,standard_error,ci95_low,ci95_high
raw,net_profit,reinforce_minus_dqn,0.26650799999999997,0.01938692104229034,0.008670094664996455,0.242435958105769,0.2905800418942309
raw,stake_scaled_net_profit,reinforce_minus_dqn,0.18776299999999999,0.03894444530353461,0.01741648540894516,0.1394070843365853,0.23611891566341467
features,net_profit,reinforce_minus_dqn,0.02536799999999999,0.007662354892590131,0.003426709281511926,0.01585392978841034,0.03488207021158964
features,stake_scaled_net_profit,reinforce_minus_dqn,0.09539299999999999,0.07310314909427637,0.03269272214882083,0.004623451614314739,0.18616254838568524
