state_representation,reward_type,training_seed,update,phase,probe_index,normalized_entropy,max_probability,prob_check,prob_bet_4x,prob_bet_3x,prob_bet_2x,prob_bet_1x,prob_fold
raw,net_profit,20260824,0,preflop,0,0.9999951639775083,0.3347870707511902,0.3321778178215027,0.3347870707511902,0.33303502202033997,0.0,0.0,0.0
raw,net_profit,20260824,0,flop,0,0.9988975026625692,0.5195448994636536,0.5195448994636536,0.0,0.0,0.48045507073402405,0.0,0.0
raw,net_profit,20260824,0,river,0,0.9999389002789829,0.5046016573905945,0.0,0.0,0.0,0.0,0.4953983426094055,0.5046016573905945
raw,net_profit,20260824,0,preflop,1,0.9999666591388847,0.33732616901397705,0.330812007188797,0.33732616901397705,0.33186185359954834,0.0,0.0,0.0
raw,net_profit,20260824,0,flop,1,0.9996841841288373,0.5104612112045288,0.5104612112045288,0.0,0.0,0.48953884840011597,0.0,0.0
raw,net_profit,20260824,0,river,1,0.9999965644248675,0.5010911822319031,0.0,0.0,0.0,0.0,0.4989088177680969,0.5010911822319031
raw,net_profit,20260824,0,preflop,2,0.9999828601421948,0.3361847996711731,0.3314747214317322,0.3361847996711731,0.3323405086994171,0.0,0.0,0.0
raw,net_profit,20260824,0,flop,2,0.9995626791813035,0.5123105049133301,0.5123105049133301,0.0,0.0,0.4876894950866699,0.0,0.0
raw,net_profit,20260824,0,river,2,0.9999976359766001,0.5009051561355591,0.0,0.0,0.0,0.0,0.4990948438644409,0.5009051561355591
raw,net_profit,20260824,0,preflop,3,0.9999246545322377,0.339403361082077,0.33010032773017883,0.339403361082077,0.33049628138542175,0.0,0.0,0.0
raw,net_profit,20260824,0,flop,3,0.9991836534099957,0.516818642616272,0.516818642616272,0.0,0.0,0.4831813871860504,0.0,0.0
raw,net_profit,20260824,0,river,3,0.9997940630209716,0.5084487795829773,0.0,0.0,0.0,0.0,0.49155113101005554,0.5084487795829773
raw,net_profit,20260824,0,preflop,4,0.999921188512416,0.33944693207740784,0.3312273621559143,0.33944693207740784,0.32932567596435547,0.0,0.0,0.0
raw,net_profit,20260824,0,flop,4,0.9995759097034547,0.5121230483055115,0.5121230483055115,0.0,0.0,0.48787692189216614,0.0,0.0
raw,net_profit,20260824,0,river,4,0.9997369882334776,0.5095471143722534,0.0,0.0,0.0,0.0,0.4904528856277466,0.5095471143722534
raw,net_profit,20260824,0,preflop,5,0.9999342783808691,0.33892226219177246,0.33137503266334534,0.33892226219177246,0.3297027051448822,0.0,0.0,0.0
raw,net_profit,20260824,0,flop,5,0.9988500306977525,0.5199609398841858,0.5199609398841858,0.0,0.0,0.4800390899181366,0.0,0.0
raw,net_profit,20260824,0,river,5,0.9998855916626208,0.5062968134880066,0.0,0.0,0.0,0.0,0.4937031865119934,0.5062968134880066
raw,net_profit,20260824,0,preflop,6,0.9999621680768679,0.33734679222106934,0.3299892544746399,0.33734679222106934,0.33266401290893555,0.0,0.0,0.0
raw,net_profit,20260824,0,flop,6,0.9995507135573876,0.5124779343605042,0.5124779343605042,0.0,0.0,0.48752203583717346,0.0,0.0
raw,net_profit,20260824,0,river,6,0.9999846117348664,0.5023103356361389,0.0,0.0,0.0,0.0,0.4976896345615387,0.5023103356361389
raw,net_profit,20260824,0,preflop,7,0.9999934166938604,0.3350342810153961,0.3329738974571228,0.3350342810153961,0.3319917917251587,0.0,0.0,0.0
raw,net_profit,20260824,0,flop,7,0.9993752865369258,0.5147130489349365,0.5147130489349365,0.0,0.0,0.48528698086738586,0.0,0.0
raw,net_profit,20260824,0,river,7,0.9999495209813476,0.5041831731796265,0.0,0.0,0.0,0.0,0.49581679701805115,0.5041831731796265
raw,net_profit,20260824,0,preflop,8,0.9999525295628632,0.3361011743545532,0.33535492420196533,0.3361011743545532,0.32854390144348145,0.0,0.0,0.0
raw,net_profit,20260824,0,flop,8,0.9987540626714567,0.5207769274711609,0.5207769274711609,0.0,0.0,0.4792231023311615,0.0,0.0
raw,net_profit,20260824,0,river,8,0.999908869367692,0.505619466304779,0.0,0.0,0.0,0.0,0.49438056349754333,0.505619466304779
raw,net_profit,20260824,0,preflop,9,0.9999641758829148,0.33751827478408813,0.33132851123809814,0.33751827478408813,0.33115312457084656,0.0,0.0,0.0
raw,net_profit,20260824,0,flop,9,0.9990179869680285,0.5184462070465088,0.5184462070465088,0.0,0.0,0.4815537929534912,0.0,0.0
raw,net_profit,20260824,0,river,9,0.9999822330577415,0.5024832487106323,0.0,0.0,0.0,0.0,0.4975166916847229,0.5024832487106323
raw,net_profit,20260824,0,preflop,10,0.9999734657838096,0.3368508815765381,0.3309030830860138,0.3368508815765381,0.3322460353374481,0.0,0.0,0.0
raw,net_profit,20260824,0,flop,10,0.9993894823635804,0.5145450830459595,0.5145450830459595,0.0,0.0,0.4854549169540405,0.0,0.0
raw,net_profit,20260824,0,river,10,0.9998116287030381,0.5080797076225281,0.0,0.0,0.0,0.0,0.4919202923774719,0.5080797076225281
raw,net_profit,20260824,0,preflop,11,0.9999958737965485,0.3345288634300232,0.33339807391166687,0.3345288634300232,0.33207306265830994,0.0,0.0,0.0
raw,net_profit,20260824,0,flop,11,0.999310189778449,0.5154607892036438,0.5154607892036438,0.0,0.0,0.4845391809940338,0.0,0.0
raw,net_profit,20260824,0,river,11,0.9999715460302896,0.5031417012214661,0.0,0.0,0.0,0.0,0.49685823917388916,0.5031417012214661
raw,net_profit,20260824,0,preflop,12,0.9999869603970445,0.3357975482940674,0.3325783908367157,0.3357975482940674,0.3316241204738617,0.0,0.0,0.0
raw,net_profit,20260824,0,flop,12,0.9992500532347137,0.5161202549934387,0.5161202549934387,0.0,0.0,0.48387977480888367,0.0,0.0
raw,net_profit,20260824,0,river,12,0.9998943315018516,0.5060522556304932,0.0,0.0,0.0,0.0,0.49394768476486206,0.5060522556304932
raw,net_profit,20260824,0,preflop,13,0.9999449416723502,0.3384479284286499,0.33154305815696716,0.3384479284286499,0.33000901341438293,0.0,0.0,0.0
raw,net_profit,20260824,0,flop,13,0.9996082903440954,0.5116509199142456,0.5116509199142456,0.0,0.0,0.4883490800857544,0.0,0.0
raw,net_profit,20260824,0,river,13,0.9997759977222271,0.5088112354278564,0.0,0.0,0.0,0.0,0.4911887049674988,0.5088112354278564
raw,net_profit,20260824,0,preflop,14,0.9999901875993756,0.3355166018009186,0.33239391446113586,0.3355166018009186,0.33208951354026794,0.0,0.0,0.0
raw,net_profit,20260824,0,flop,14,0.9989208756387734,0.519336462020874,0.519336462020874,0.0,0.0,0.48066356778144836,0.0,0.0
raw,net_profit,20260824,0,river,14,0.9999799146441545,0.5026366710662842,0.0,0.0,0.0,0.0,0.4973633885383606,0.5026366710662842
raw,net_profit,20260824,0,preflop,15,0.99992100849092,0.3394376337528229,0.32925477623939514,0.3394376337528229,0.3313075602054596,0.0,0.0,0.0
raw,net_profit,20260824,0,flop,15,0.9990327675846746,0.5183066725730896,0.5183066725730896,0.0,0.0,0.4816933870315552,0.0,0.0
raw,net_profit,20260824,0,river,15,0.9999995411199035,0.5003930330276489,0.0,0.0,0.0,0.0,0.5003930330276489,0.49960699677467346
raw,net_profit,20260824,0,preflop,16,0.9999819438816043,0.336303174495697,0.3317648470401764,0.336303174495697,0.3319319784641266,0.0,0.0,0.0
raw,net_profit,20260824,0,flop,16,0.9994867927117997,0.5133354663848877,0.5133354663848877,0.0,0.0,0.4866645932197571,0.0,0.0
raw,net_profit,20260824,0,river,16,0.9998838653951205,0.5063441395759583,0.0,0.0,0.0,0.0,0.49365586042404175,0.5063441395759583
raw,net_profit,20260824,0,preflop,17,0.9999670155960831,0.33698904514312744,0.33294054865837097,0.33698904514312744,0.3300703167915344,0.0,0.0,0.0
raw,net_profit,20260824,0,flop,17,0.9990351560060201,0.5182844996452332,0.5182844996452332,0.0,0.0,0.48171544075012207,0.0,0.0
raw,net_profit,20260824,0,river,17,0.9997821519543383,0.5086886286735535,0.0,0.0,0.0,0.0,0.4913114011287689,0.5086886286735535
raw,net_profit,20260824,0,preflop,18,0.9999811178140069,0.33556145429611206,0.3304341435432434,0.33556145429611206,0.3340044617652893,0.0,0.0,0.0
raw,net_profit,20260824,0,flop,18,0.9992831687147233,0.5157608985900879,0.5157608985900879,0.0,0.0,0.48423901200294495,0.0,0.0
raw,net_profit,20260824,0,river,18,0.999931111424138,0.5048852562904358,0.0,0.0,0.0,0.0,0.495114803314209,0.5048852562904358
raw,net_profit,20260824,0,preflop,19,0.9999505851529662,0.3378896415233612,0.3294609487056732,0.3378896415233612,0.3326493501663208,0.0,0.0,0.0
raw,net_profit,20260824,0,flop,19,0.9991078956750269,0.517581582069397,0.517581582069397,0.0,0.0,0.4824184477329254,0.0,0.0
raw,net_profit,20260824,0,river,19,0.9999414632078337,0.5045050978660583,0.0,0.0,0.0,0.0,0.4954948425292969,0.5045050978660583
raw,net_profit,20260824,0,preflop,20,0.999996053895959,0.3347204923629761,0.33259597420692444,0.3347204923629761,0.3326835036277771,0.0,0.0,0.0
raw,net_profit,20260824,0,flop,20,0.9991024363441605,0.5176352858543396,0.5176352858543396,0.0,0.0,0.4823647439479828,0.0,0.0
raw,net_profit,20260824,0,river,20,0.9999642003149132,0.503521740436554,0.0,0.0,0.0,0.0,0.49647828936576843,0.503521740436554
raw,net_profit,20260824,0,preflop,21,0.999941818396558,0.33786746859550476,0.32864081859588623,0.33786746859550476,0.3334917426109314,0.0,0.0,0.0
raw,net_profit,20260824,0,flop,21,0.999470499843818,0.5135456323623657,0.5135456323623657,0.0,0.0,0.48645439743995667,0.0,0.0
raw,net_profit,20260824,0,river,21,0.9995405478826396,0.5126181244850159,0.0,0.0,0.0,0.0,0.48738187551498413,0.5126181244850159
raw,net_profit,20260824,0,preflop,22,0.999990111923262,0.33512812852859497,0.33133822679519653,0.33512812852859497,0.3335336744785309,0.0,0.0,0.0
raw,net_profit,20260824,0,flop,22,0.999215575438062,0.5164865851402283,0.5164865851402283,0.0,0.0,0.4835134446620941,0.0,0.0
raw,net_profit,20260824,0,river,22,0.9997980034578783,0.5083670616149902,0.0,0.0,0.0,0.0,0.4916329085826874,0.5083670616149902
raw,net_profit,20260824,0,preflop,23,0.9999340203960557,0.3389936685562134,0.33094683289527893,0.3389936685562134,0.3300594687461853,0.0,0.0,0.0
raw,net_profit,20260824,0,flop,23,0.9987379834474435,0.5209106206893921,0.5209106206893921,0.0,0.0,0.4790893793106079,0.0,0.0
raw,net_profit,20260824,0,river,23,0.9999696813346429,0.5032415390014648,0.0,0.0,0.0,0.0,0.49675846099853516,0.5032415390014648
raw,net_profit,20260824,0,preflop,24,0.9999926084511636,0.3349117040634155,0.33162933588027954,0.3349117040634155,0.33345893025398254,0.0,0.0,0.0
raw,net_profit,20260824,0,flop,24,0.9988057616540125,0.5203415155410767,0.5203415155410767,0.0,0.0,0.47965848445892334,0.0,0.0
raw,net_profit,20260824,0,river,24,0.9999997350202051,0.500310480594635,0.0,0.0,0.0,0.0,0.500310480594635,0.4996894896030426
raw,net_profit,20260824,0,preflop,25,0.9999449601161539,0.33779940009117126,0.33337944746017456,0.33779940009117126,0.3288211524486542,0.0,0.0,0.0
raw,net_profit,20260824,0,flop,25,0.999165538392986,0.517004668712616,0.517004668712616,0.0,0.0,0.48299524188041687,0.0,0.0
raw,net_profit,20260824,0,river,25,0.9996445027110348,0.5110989809036255,0.0,0.0,0.0,0.0,0.4889010787010193,0.5110989809036255
raw,net_profit,20260824,0,preflop,26,0.9999074696947486,0.3396894931793213,0.3320642411708832,0.3396894931793213,0.32824626564979553,0.0,0.0,0.0
raw,net_profit,20260824,0,flop,26,0.9995239232417389,0.5128446817398071,0.5128446817398071,0.0,0.0,0.4871552586555481,0.0,0.0
raw,net_profit,20260824,0,river,26,0.9996689041733351,0.5107114911079407,0.0,0.0,0.0,0.0,0.4892885386943817,0.5107114911079407
raw,net_profit,20260824,0,preflop,27,0.9999367682975632,0.3381606638431549,0.3333031237125397,0.3381606638431549,0.3285362720489502,0.0,0.0,0.0
raw,net_profit,20260824,0,flop,27,0.9993318866114451,0.5152153372764587,0.5152153372764587,0.0,0.0,0.48478472232818604,0.0,0.0
raw,net_profit,20260824,0,river,27,0.9999614476306468,0.5036565065383911,0.0,0.0,0.0,0.0,0.4963434338569641,0.5036565065383911
raw,net_profit,20260824,0,preflop,28,0.9999781804503877,0.3364531695842743,0.33093830943107605,0.3364531695842743,0.33260849118232727,0.0,0.0,0.0
raw,net_profit,20260824,0,flop,28,0.9989194959202329,0.5193489193916321,0.5193489193916321,0.0,0.0,0.4806510806083679,0.0,0.0
raw,net_profit,20260824,0,river,28,0.9999988743429004,0.5006282329559326,0.0,0.0,0.0,0.0,0.499371737241745,0.5006282329559326
raw,net_profit,20260824,0,preflop,29,0.9999611655383372,0.3376292884349823,0.3318222761154175,0.3376292884349823,0.33054840564727783,0.0,0.0,0.0
raw,net_profit,20260824,0,flop,29,0.9987286423401238,0.5209877490997314,0.5209877490997314,0.0,0.0,0.47901228070259094,0.0,0.0
raw,net_profit,20260824,0,river,29,0.999903265158393,0.5057896971702576,0.0,0.0,0.0,0.0,0.4942103326320648,0.5057896971702576
raw,net_profit,20260824,0,preflop,30,0.9999348503819282,0.3388550281524658,0.3315936028957367,0.3388550281524658,0.3295513093471527,0.0,0.0,0.0
raw,net_profit,20260824,0,flop,30,0.999242970051016,0.5161961913108826,0.5161961913108826,0.0,0.0,0.4838038384914398,0.0,0.0
raw,net_profit,20260824,0,river,30,0.9996774298572917,0.5105730891227722,0.0,0.0,0.0,0.0,0.4894268810749054,0.5105730891227722
raw,net_profit,20260824,0,preflop,31,0.9999790971527158,0.33632463216781616,0.330864280462265,0.33632463216781616,0.33281102776527405,0.0,0.0,0.0
raw,net_profit,20260824,0,flop,31,0.9992735733802437,0.5158656239509583,0.5158656239509583,0.0,0.0,0.48413437604904175,0.0,0.0
raw,net_profit,20260824,0,river,31,0.9999619516718319,0.5036306977272034,0.0,0.0,0.0,0.0,0.496369332075119,0.5036306977272034
raw,net_profit,20260824,0,preflop,32,0.9999536958569647,0.3370899260044098,0.3339764475822449,0.3370899260044098,0.3289336562156677,0.0,0.0,0.0
raw,net_profit,20260824,0,flop,32,0.9992854588341613,0.5157354474067688,0.5157354474067688,0.0,0.0,0.4842645227909088,0.0,0.0
raw,net_profit,20260824,0,river,32,0.9997271020558814,0.5097244381904602,0.0,0.0,0.0,0.0,0.49027562141418457,0.5097244381904602
raw,net_profit,20260824,0,preflop,33,0.9999697585916114,0.33671846985816956,0.33321651816368103,0.33671846985816956,0.3300650417804718,0.0,0.0,0.0
raw,net_profit,20260824,0,flop,33,0.9987596366168927,0.5207307934761047,0.5207307934761047,0.0,0.0,0.4792691171169281,0.0,0.0
raw,net_profit,20260824,0,river,33,0.9997877554632587,0.5085761547088623,0.0,0.0,0.0,0.0,0.4914238750934601,0.5085761547088623
raw,net_profit,20260824,0,preflop,34,0.999915960277247,0.3369605243206024,0.3360818326473236,0.3369605243206024,0.32695767283439636,0.0,0.0,0.0
raw,net_profit,20260824,0,flop,34,0.9997364698482594,0.5095562934875488,0.5095562934875488,0.0,0.0,0.49044373631477356,0.0,0.0
raw,net_profit,20260824,0,river,34,0.9999969078206616,0.501035213470459,0.0,0.0,0.0,0.0,0.498964786529541,0.501035213470459
raw,net_profit,20260824,0,preflop,35,0.9999446859329301,0.3368981182575226,0.334820032119751,0.3368981182575226,0.3282819092273712,0.0,0.0,0.0
raw,net_profit,20260824,0,flop,35,0.9990451550304659,0.5181893110275269,0.5181893110275269,0.0,0.0,0.48181068897247314,0.0,0.0
raw,net_profit,20260824,0,river,35,0.9998890052716829,0.5062025189399719,0.0,0.0,0.0,0.0,0.4937974512577057,0.5062025189399719
raw,net_profit,20260824,0,preflop,36,0.9999646018048429,0.33748695254325867,0.3314798176288605,0.33748695254325867,0.33103322982788086,0.0,0.0,0.0
raw,net_profit,20260824,0,flop,36,0.9992704676002462,0.5158992409706116,0.5158992409706116,0.0,0.0,0.4841008186340332,0.0,0.0
raw,net_profit,20260824,0,river,36,0.9999968855277043,0.5010345578193665,0.0,0.0,0.0,0.0,0.5010345578193665,0.4989655017852783
raw,net_profit,20260824,0,preflop,37,0.9999861253237151,0.3359358012676239,0.3321208357810974,0.3359358012676239,0.3319433629512787,0.0,0.0,0.0
raw,net_profit,20260824,0,flop,37,0.9993852563500059,0.5145953297615051,0.5145953297615051,0.0,0.0,0.4854046702384949,0.0,0.0
raw,net_profit,20260824,0,river,37,0.9998482011076487,0.5072528123855591,0.0,0.0,0.0,0.0,0.4927472174167633,0.5072528123855591
raw,net_profit,20260824,0,preflop,38,0.99992225432522,0.3395005762577057,0.330422967672348,0.3395005762577057,0.3300764262676239,0.0,0.0,0.0
raw,net_profit,20260824,0,flop,38,0.9995174475907428,0.5129314064979553,0.5129314064979553,0.0,0.0,0.4870685935020447,0.0,0.0
raw,net_profit,20260824,0,river,38,0.9999129631367019,0.5054929852485657,0.0,0.0,0.0,0.0,0.49450695514678955,0.5054929852485657
raw,net_profit,20260824,0,preflop,39,0.999971318207708,0.3359268009662628,0.33437007665634155,0.3359268009662628,0.329703152179718,0.0,0.0,0.0
raw,net_profit,20260824,0,flop,39,0.9990175309994491,0.5184503793716431,0.5184503793716431,0.0,0.0,0.4815496504306793,0.0,0.0
raw,net_profit,20260824,0,river,39,0.9999739808735707,0.5030021667480469,0.0,0.0,0.0,0.0,0.4969978630542755,0.5030021667480469
raw,net_profit,20260824,0,preflop,40,0.9998966648474802,0.33817920088768005,0.33539652824401855,0.33817920088768005,0.3264243006706238,0.0,0.0,0.0
raw,net_profit,20260824,0,flop,40,0.9987445957434438,0.5208557844161987,0.5208557844161987,0.0,0.0,0.47914421558380127,0.0,0.0
raw,net_profit,20260824,0,river,40,0.9996040137996314,0.511713981628418,0.0,0.0,0.0,0.0,0.4882860779762268,0.511713981628418
raw,net_profit,20260824,0,preflop,41,0.9999517423406722,0.3379404544830322,0.33236196637153625,0.3379404544830322,0.32969751954078674,0.0,0.0,0.0
raw,net_profit,20260824,0,flop,41,0.9995812521557561,0.5120464563369751,0.5120464563369751,0.0,0.0,0.4879535138607025,0.0,0.0
raw,net_profit,20260824,0,river,41,0.9997725711006071,0.5088776350021362,0.0,0.0,0.0,0.0,0.49112239480018616,0.5088776350021362
raw,net_profit,20260824,0,preflop,42,0.9999441953654981,0.3376797139644623,0.3336613178253174,0.3376797139644623,0.32865893840789795,0.0,0.0,0.0
raw,net_profit,20260824,0,flop,42,0.9992248743736573,0.5163887143135071,0.5163887143135071,0.0,0.0,0.4836112856864929,0.0,0.0
raw,net_profit,20260824,0,river,42,0.9997936729942374,0.508455753326416,0.0,0.0,0.0,0.0,0.49154427647590637,0.508455753326416
raw,net_profit,20260824,0,preflop,43,0.9999554076183177,0.3372129797935486,0.32914999127388,0.3372129797935486,0.3336370289325714,0.0,0.0,0.0
raw,net_profit,20260824,0,flop,43,0.9982795986949674,0.5244132876396179,0.5244132876396179,0.0,0.0,0.4755867123603821,0.0,0.0
raw,net_profit,20260824,0,river,43,0.9999778261568446,0.5027721524238586,0.0,0.0,0.0,0.0,0.49722784757614136,0.5027721524238586
raw,net_profit,20260824,0,preflop,44,0.9999475753777666,0.33832797408103943,0.3301083743572235,0.33832797408103943,0.3315636217594147,0.0,0.0,0.0
raw,net_profit,20260824,0,flop,44,0.999470365404201,0.5135476589202881,0.5135476589202881,0.0,0.0,0.4864523112773895,0.0,0.0
raw,net_profit,20260824,0,river,44,0.9999277616659953,0.5050039887428284,0.0,0.0,0.0,0.0,0.49499598145484924,0.5050039887428284
raw,net_profit,20260824,0,preflop,45,0.999957271365209,0.33766743540763855,0.3324228525161743,0.33766743540763855,0.32990971207618713,0.0,0.0,0.0
raw,net_profit,20260824,0,flop,45,0.9988985239836178,0.5195355415344238,0.5195355415344238,0.0,0.0,0.48046451807022095,0.0,0.0
raw,net_profit,20260824,0,river,45,0.9998265981704224,0.5077525973320007,0.0,0.0,0.0,0.0,0.4922473430633545,0.5077525973320007
